quote,author,language
Hell is other people.,Jean-Paul Sartre,French
Power corrupts; absolute power corrupts absolutely.,John Dalberg-Acton,English
Life is like a box of chocolates. You never know what you’re gonna get.,Forrest Gump (character),English
"Houston, we have a problem.",Jim Lovell (character),English
"United we stand, divided we fall.",Aesop,Greek
"That’s one small step for a man, a giant leap for mankind.",Neil Armstrong,English
The only thing we have to fear is fear itself.,Franklin D. Roosevelt,English
"If you build it, they will come.",Joe Jackson (character),English
You must be the change you wish to see in the world.,Mahatma Ghandi,English
Genius is one percent inspiration and ninety-nine percent perspiration.,Thomas Edison,English
"Ask, and it shall be given you; seek, and you shall find.",the Bible,Greek
He travels the fastest who travels alone.,Rudyard Kipling,English
"Whatever you are, be a good one.",Abraham Lincoln,English
"If you want something done right, do it yourself.",Charles-Guillaume Étienne,French
I think therefore I am.,Rene Descartes,French
Knowledge is power.,Sir Francis Bacon,Latin
I love the smell of napalm in the morning.,Lt. Kilgore (character),English
"Go ahead, make my day.",Harry Callahan (character),English
"You can fool all of the people some of the time, and some of the people all of the time, but you can't fool all of the people all of the time.",Abraham Lincoln,English
"All the world’s a stage, and all the men and women merely players.",William Shakespeare,English
Not all those who wander are lost.,J. R. R. Tolkein,English
"Three can keep a secret, if two of them are dead.",Benjamin Franklin,English
"Two roads diverged in a wood, and I, I took the one less travelled by, and that has made all the difference.",Robert Frost,English
What doesn't kill us makes us stronger.,Friedrich Nietzsche,German
"For those to whom much is given, much is required.",the Bible,Greek
"If at first you don’t succeed, try, try again.",W. E. Hickson,English
"Elementary, my dear Watson.",Sherlock Holmes (character),English
All that glitters is not gold.,William Shakespeare,English
I have always depended on the kindness of strangers.,Blanche Dubois (character),English
May the Force be with you.,Star Wars (many characters),English
You talkin' to me?,Bickle (character),English
No one can make you feel inferior without your consent.,Eleanor Roosevelt,English
Eighty percent of success is showing up.,Woody Allen,English
"To err is human; to forgive, divine.",Alexander Pope,English
A rose by any other name would smell as sweet.,William Shakespeare,English
"To be or not to be, that is the question.",William Shakespeare,English
What we've got here is failure to communicate. Some men you just can't reach.,Captain (character),English
Ask not what your country can do for you; ask what you can do for your country.,John Kennedy,English
The truth will set you free.,the Bible,Greek
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,English
Parting is such sweet sorrow,William Shakespeare,English
"If you are going through hell, keep going.",Winston Churchill,English
There's no place like home.,Dorothy (character),English
"Frankly, my dear, I don't give a damn.",Rhett Butler (character),English
"Keep your friends close, but your enemies closer.",Michael Corleone (character),English
Hell has no fury like a woman scorned.,William Congreve,English
The love of money is the root of all evil.,the Bible,Greek
Speak softly and carry a big stick,Theodore Roosevelt,English
I've got a feeling we're not in Kansas anymore.,Dorothy (character),English
I'm gonna make him an offer he can't refuse.,Vito Corleone (character),English
"To thine own self, be true.",William Shakespeare,English
Tis better to have loved and lost than never to have loved at all.,Alfred Lord Tennyson,English
I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin but by the content of their character.,Martin Luther King,English
"Here's looking at you, kid.",Rick Blaine (character),English
"If you want something said, ask a man; if you want something done, ask a woman.",Margaret Thatcher,English
Nothing is certain except for death and taxes.,Benjamin Franklin,English
I'll be back.,Terminator (character),English
